condition,drugName,avg_rating,review_count
Nasal Congestion,Drixoral Cold and Allergy,9.88,8
Not Listed / Othe,Buprenorphine / naloxone,9.88,8
"Nausea/Vomiting, Chemotherapy Induced",Aprepitant,9.88,8
"Nausea/Vomiting, Chemotherapy Induced",Emend,9.88,8
Psoriasis,Elocon,9.88,8
"Constipation, Chronic",Tegaserod,9.88,8
Depression,Niacin,9.86,14
Dry Skin,Biafine,9.86,7
Dermatitis,Fluocinonide,9.86,7
Depression,Desipramine,9.86,7
"Diarrhea, Chronic",Loperamide,9.86,7
"Constipation, Chronic",Zelnorm,9.86,7
Allergic Rhinitis,Dexbrompheniramine / pseudoephedrine,9.85,13
Nocturnal Leg Cramps,Carisoprodol,9.83,6
Overactive Bladde,Belladonna / opium,9.83,6
Prevention of Bladder infection,Methenamine,9.83,6
Alopecia,Kenalog-10,9.83,6
Anxiety and Stress,Prazosin,9.83,6
Meniere's Disease,Valium,9.83,6
Multiple Sclerosis,Avonex Pen,9.83,6
Anxiety,Niravam,9.8,5
Barrett's Esophagus,Omeprazole,9.8,5
Dry Skin,Ammonium lactate,9.8,5
amilial Mediterranean Feve,Colchicine,9.8,5
Depression,Serzone,9.8,5
Urinary Tract Infection,Methenamine,9.8,5
Atopic Dermatitis,Clobetasol,9.8,10
Chronic Fatigue Syndrome,Lisdexamfetamine,9.8,5
Not Listed / Othe,Methadone,9.8,5
Dumping Syndrome,Cholestyramine,9.75,4
Back Pain,Acetaminophen / pamabrom,9.75,8
Pain,Ketoprofen,9.75,8
Pain,Cataflam,9.75,4
Osteoarthritis,Prednisone,9.75,4
Amenorrhea,Depo-Provera,9.75,4
"Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis",Warfarin,9.75,4
Cough and Nasal Congestion,Chlorpheniramine / dextromethorphan / pseudoephedrine,9.75,4
Schizophrenia,Trifluoperazine,9.75,4
Seizures,Zarontin,9.75,4
"Asthma, acute",Primatene Mist,9.75,4
Atopic Dermatitis,Mometasone,9.75,4
Pain,Valdecoxib,9.75,4
Cold Sores,Zovirax Ointment,9.75,4
"Herpes Simplex, Mucocutaneous/Immunocompetent Host",Valacyclovir,9.75,4
ge HCT (amlodipine / hydrochlorothiazide / valsartan),Amlodipine / hydrochlorothiazide / valsartan,9.75,4
Diabetes Insipidus,DDAVP,9.75,4
Birth Control,Heather,9.75,4
Mitral Valve Prolapse,Atenolol,9.75,4
Irritable Bowel Syndrome,Tegaserod,9.75,8
Opiate Withdrawal,Dolophine,9.75,4
Acne,Aldactone,9.75,4
"Diarrhea, Chronic",Welchol,9.75,12
Hemorrhoids,Proctofoam,9.75,16
Insomnia,Tryptophan,9.75,4
Chronic Pain,Methadone Diskets,9.71,7
Pain,Aspirin / butalbital / caffeine,9.71,7
Meniere's Disease,Diazepam,9.71,14
Expectoration,Acetylcysteine,9.71,7
Heart Failure,Coreg,9.71,14
Prostate Cance,Zytiga,9.71,7
Cough,Acetaminophen / hydrocodone,9.7,10
Diarrhea,Opium,9.7,10
Irritable Bowel Syndrome,Lotronex,9.69,13
Irritable Bowel Syndrome,Alosetron,9.69,16
mance Anxiety,Propranolol,9.67,187
Insomnia,Dimenhydrinate,9.67,3
Malaria,Artemether / lumefantrine,9.67,3
Birth Control,Ortho-Novum 7 / 7 / 7,9.67,3
Migraine Prevention,Clonidine,9.67,3
Breast Cance,Abraxane,9.67,3
Migraine,Methylergonovine,9.67,6
Breast Cance,Paclitaxel protein-bound,9.67,3
Migraine Prevention,Benicar,9.67,3
Hypoestrogenism,Estrace Vaginal Cream,9.67,3
"Diabetes, Type 1",Liraglutide,9.67,3
Muscle Pain,Relafen,9.67,3
Hemorrhoids,Dibucaine,9.67,3
"Onychomycosis, Fingernail",Lamisil,9.67,3
Hemorrhoids,Proctofoam HC,9.67,3
Hemorrhoids,Nupercainal,9.67,3
Binge Eating Disorde,Fluoxetine,9.67,3
"COPD, Maintenance",Foradil Aerolizer,9.67,3
Hepatitis C,Simeprevir,9.67,3
Benign Essential Trem,Nadolol,9.67,3
Diarrhea,Pepto-Bismol,9.67,3
"Diarrhea, Chronic",Imodium,9.67,3
High Cholesterol,Lopid,9.67,3
Depression,Amitriptyline / chlordiazepoxide,9.67,3
Myasthenia Gravis,Mestinon Timespan,9.67,3
"Breast Cancer, Metastatic",Halaven,9.67,6
Not Listed / Othe,Acetaminophen / oxycodone,9.67,6
Bipolar Disorde,Nuvigil,9.67,6
High Blood Pressure,Avalide,9.67,3
High Blood Pressure,Reserpine,9.67,3
Iron Deficiency Anemia,Iron polysaccharide,9.67,3
1</span> users found this comment helpful.,Suboxone,9.67,3
"Lyme Disease, Arthritis",Plaquenil,9.67,3
Indigestion,Milk of Magnesia,9.67,3
Headache,Esgic,9.67,6
Osteoarthritis,Indomethacin,9.67,3
Otitis Media,Ceftriaxone,9.67,3
Otitis Media,Rocephin,9.67,3
Back Pain,Flurbiprofen,9.67,3
Osteoarthritis,Valdecoxib,9.67,3
Seasonal Affective Disorde,Wellbutrin XL,9.67,3
Headache,Aspirin / caffeine / salicylamide,9.67,3
Headache,Acetaminophen / phenyltoloxamine,9.67,3
Pain,Actiq,9.67,3
Parkinson's Disease,Selegiline,9.67,3
Panic Disorde,Klonopin Wafer,9.67,3
Gout,Pegloticase,9.67,3
"Asthma, Maintenance",Flovent HFA,9.67,3
Cluster Headaches,Imitrex Statdose,9.67,3
Pain,Sublimaze,9.67,3
Cough and Nasal Congestion,Chlorpheniramine / hydrocodone / phenylephrine,9.67,3
"Asthma, Maintenance",Xopenex,9.67,3
Pain,Meperitab,9.67,3
Atopic Dermatitis,Elocon,9.67,3
Schizophrenia,Thorazine,9.67,3
Pain,Fiorinal,9.67,3
Cold Symptoms,Rynatan,9.67,3
Photoaging of the Skin,Atralin,9.67,3
Cold Symptoms,Bronkaid,9.67,3
Anxiety,Amitriptyline / chlordiazepoxide,9.67,3
Psoriasis,Olux,9.67,6
Rheumatoid Arthritis,Xeljanz XR,9.67,3
Cough,TussiCaps,9.67,3
Allergic Reactions,Triamcinolone,9.67,3
"Glaucoma, Open Angle",Brimonidine / brinzolamide,9.67,3
Gout,Krystexxa,9.67,3
Psoriasis,Infliximab,9.67,3
Eye Redness,Systane Balance,9.67,3
Allergic Rhinitis,Nasacort AQ,9.67,3
Allergic Rhinitis,Rhinocort,9.67,3
Insomnia,Intermezzo,9.67,6
0</span> users found this comment helpful.,Hypercare,9.67,3
4</span> users found this comment helpful.,Adipex-P,9.67,3
Weight Loss,Megace ES,9.67,3
Dermatitis,Mometasone,9.67,3
Dermatitis,Clobetasol,9.67,12
Seasonal Affective Disorde,Bupropion,9.64,11
Nausea/Vomiting,Dramamine,9.62,8
Pain,Methadose,9.62,8
COPD,Anoro Ellipta,9.62,13
Acne,PanOxyl,9.6,5
eve,Acetaminophen,9.6,5
"High Cholesterol, Familial Heterozygous",Ezetimibe,9.6,5
Anxiety,Klonopin Wafer,9.6,5
Non-Small Cell Lung Cance,Gefitinib,9.6,5
Not Listed / Othe,Meloxicam,9.6,5
Dry Skin,Urea,9.6,5
Cough and Nasal Congestion,Dextromethorphan / guaifenesin / pseudoephedrine,9.6,5
Insomnia,Quazepam,9.6,5
Hepatitis C,Daklinza,9.6,5
"Hypothyroidism, After Thyroid Removal",Liothyronine,9.6,5
Dermatological Disorders,Urea,9.6,5
Dermatitis,Betamethasone,9.6,5
Motion Sickness,Dramamine,9.58,19
Headache,Aspirin / butalbital / caffeine / codeine,9.58,19
Hemorrhoids,Pramoxine,9.57,14
Nausea/Vomiting,Dimenhydrinate,9.57,7
"Conjunctivitis, Allergic",Ketotifen,9.57,7
Eye Redness,FreshKote,9.57,7
Alcohol Withdrawal,Chlordiazepoxide,9.57,69
ADHD,Desoxyn,9.56,16
Shift Work Sleep Disorde,Provigil,9.56,9
Psoriasis,Coal tar,9.56,9
Diabetes Insipidus,Desmopressin,9.56,9
Irritable Bowel Syndrome,Zelnorm,9.56,9
Bipolar Disorde,Armodafinil,9.56,9
Multiple Sclerosis,Provigil,9.54,13
Alcohol Withdrawal,Librium,9.54,67
Eczema,Desonide,9.53,15
Non-Small Cell Lung Cance,Erlotinib,9.52,21
Primary Immunodeficiency Syndrome,Vivaglobin,9.5,4
"Constipation, Acute",MiraLax,9.5,4
Migraine Prevention,InnoPran XL,9.5,4
Dermatological Disorders,Silver,9.5,4
Mucositis,Saliva substitutes,9.5,4
Migraine Prevention,Pamelor,9.5,4
"Asthma, acute",Epinephrine,9.5,6
Headache,Fiorinal,9.5,10
COPD,Aclidinium,9.5,6
Night Terrors,Klonopin,9.5,4
Diarrhea,Codeine,9.5,4
"Deep Vein Thrombosis, First Event",Coumadin,9.5,4
Herbal Supplementation,Turmeric,9.5,4
Bipolar Disorde,Eskalith,9.5,4
Non-Small Cell Lung Cance,Iressa,9.5,4
Not Listed / Othe,Alprazolam,9.5,10
Irritable Bowel Syndrome,Lactobacillus acidophilus,9.5,4
ADHD,Pemoline,9.5,6
Migraine,Methergine,9.5,4
ADHD,Cylert,9.5,6
"Sexual Dysfunction, SSRI Induced",Dextroamphetamine,9.5,6
"Asthma, Maintenance",Levalbuterol,9.5,4
Dysautonomia,Alprazolam,9.5,4
"Breast Cancer, Metastatic",Eribulin,9.5,6
Dry Skin,X-Viate,9.5,4
Narcolepsy,Adderall XR,9.5,4
Nocturnal Leg Cramps,Qualaquin,9.5,4
Post Traumatic Stress Disorde,Amitriptyline,9.5,6
Helicobacter Pylori Infection,Rabeprazole,9.5,4
Helicobacter Pylori Infection,Aciphex,9.5,4
Eczema,Ultravate,9.5,4
Inflammatory Conditions,Depo-Medrol,9.5,4
Behcet's Disease,Infliximab,9.5,4
Herbal Supplementation,Lecithin,9.5,6
"Onychomycosis, Toenail",Fluconazole,9.5,6
Cluster Headaches,Dihydroergotamine,9.5,4
Inflammatory Bowel Disease,Entocort EC,9.5,4
Rheumatoid Arthritis,Esomeprazole / naproxen,9.5,4
Insomnia,Somnote,9.5,6
Gouty Arthritis,Prednisone,9.48,27
Constipation,Sodium biphosphate / sodium phosphate,9.48,23
HIV Infection,Stribild,9.47,60
Psoriasis,Mometasone,9.45,11
Anxiety,Tramadol,9.45,33
"Diarrhea, Chronic",Colesevelam,9.45,20
Migraine,Butalbital Compound,9.44,9
Barrett's Esophagus,Dexilant,9.44,9
HIV Infection,Cobicistat / elvitegravir / emtricitabine / tenofovir,9.43,53
Opioid Overdose,Naloxone,9.43,7
Constipation,Magnesium oxide,9.43,7
Tendonitis,Mobic,9.43,7
Temporomandibular Joint Disorde,Valium,9.43,7
Duodenal Ulce,Sucralfate,9.43,7
Insomnia,Triazolam,9.42,26
Cough,Chlorpheniramine / hydrocodone,9.42,69
Pain,Demerol,9.42,36
Irritable Bowel Syndrome,Donnatal,9.42,12
Left Ventricular Dysfunction,Carvedilol,9.4,5
Asthma,Ipratropium,9.4,5
Pain,Panlor SS,9.4,5
Oophorectomy,Premarin,9.4,5
High Blood Pressure,Hydrochlorothiazide / irbesartan,9.4,5
"Asthma, acute",Levalbuterol,9.4,5
Keratosis,Carac,9.4,5
Irritable Bowel Syndrome,Cholestyramine,9.4,25
Headache,Fioricet with Codeine,9.4,10
High Blood Pressure,Bisoprolol,9.4,5
Cold Symptoms,Echinacea,9.4,5
Allergic Rhinitis,Chlorpheniramine,9.4,10
Atrial Fibrillation,Rythmol SR,9.38,13
Pain,Butorphanol,9.38,21
Eczema,Mometasone,9.38,21
"Constipation, Chronic",Polyethylene glycol 3350 with electrolytes,9.38,8
HIV Infection,Raltegravir,9.38,8
Headache,Acetaminophen / butalbital / caffeine / codeine,9.38,16
Rheumatoid Arthritis,Tramadol,9.38,8
Cold Symptoms,Ephedrine / guaifenesin,9.38,8
Premenstrual Dysphoric Disorde,Citalopram,9.36,11
GERD,Aciphex,9.36,22
Insomnia,Estazolam,9.36,11
Migraine,Amerge,9.36,14
Osteoarthritis,Voltaren,9.35,17
"Herpes Simplex, Suppression",Lysine,9.35,26
"Diabetes, Type 2",Chromium picolinate,9.33,6
Breakthrough Pain,Fentora,9.33,3
"Hypogonadism, Male",Depo-Testosterone,9.33,3
"Constipation, Chronic",MoviPrep,9.33,3
"Asthma, acute",Xopenex HFA,9.33,3
ADHD,Catapres,9.33,3
Vitamin B12 Deficiency,Cyanocobalamin,9.33,6
Chronic Pain,Fentora,9.33,3
Headache,Acetaminophen / caffeine,9.33,3
"Diabetes, Type 1",Insulin regular,9.33,3
Urinary Tract Infection,Rocephin,9.33,15
Depression,Luvox,9.33,3
ailure to Thrive,Cyproheptadine,9.33,3
Primary Immunodeficiency Syndrome,Immune globulin intravenous,9.33,3
"Constipation, Chronic",GoLYTELY,9.33,3
Ulcerative Colitis,Delzicol,9.33,3
Premenstrual Dysphoric Disorde,Venlafaxine,9.33,3
Psoriasis,Vectical,9.33,3
Pain,Meperidine / promethazine,9.33,9
Clostridial Infection,Dificid,9.33,3
Carcinoid Tum,Octreotide,9.33,3
Rosacea,Azelex,9.33,3
Urinary Incontinence,Botox,9.33,3
Cluster Headaches,Imitrex Nasal,9.33,3
Osteoarthritis,Naprelan,9.33,3
Erosive Esophagitis,Dexilant,9.33,6
Allergic Reactions,Benadryl Allergy,9.33,6
Erectile Dysfunction,Caverject Impulse,9.33,6
Peritonitis,Clindamycin,9.33,3
"Asthma, Maintenance",Advair HFA,9.33,3
Rosacea,Clarifoam EF,9.33,3
"COPD, Maintenance",Tudorza Pressair,9.33,3
Candidemia,Diflucan,9.33,3
Heart Failure,Carvedilol,9.33,21
Postherpetic Neuralgia,Gabapentin enacarbil,9.33,3
Postmenopausal Symptoms,Elestrin,9.33,3
Post Traumatic Stress Disorde,Seroquel XR,9.33,3
Premenstrual Dysphoric Disorde,Lexapro,9.33,3
Muscle Spasm,Soma Compound,9.33,6
Not Listed / Othe,Amoxicillin,9.33,3
High Blood Pressure,Captopril,9.33,3
High Blood Pressure,Tekturna HCT,9.33,3
Deep Vein Thrombosis,Lovenox,9.33,3
Gastroenteritis,Zofran,9.33,18
Temporomandibular Joint Disorde,Diazepam,9.33,6
Osteoarthritis,Lodine,9.33,3
Crohn's Disease,Sulfasalazine,9.33,3
"Herpes Simplex, Mucocutaneous/Immunocompetent Host",Famciclovir,9.33,3
Biliary Cirrhosis,Ursodiol,9.33,3
Psychosis,Navane,9.33,3
Lewy Body Dementia,Donepezil,9.33,3
Lichen Planus,Prednisone,9.33,3
Erosive Esophagitis,Omeprazole,9.33,6
Candidemia,Fluconazole,9.33,3
Dermatological Disorders,Betamethasone,9.33,9
Crohn's Disease,Colazal,9.33,3
"COPD, Acute",Epinephrine,9.33,3
"Gout, Acute",Ibuprofen,9.33,3
Addison's Disease,Dexamethasone,9.33,3
Pain/Feve,Excedrin,9.33,3
Pain,Voltaren-XR,9.33,3
Cataplexy,Sodium oxybate,9.33,3
Carcinoid Tum,Sandostatin,9.33,3
Hemorrhoids,Proctosol-HC,9.33,3
Not Listed / Othe,Diazepam,9.33,3
Restless Legs Syndrome,Pregabalin,9.33,3
"Pulmonary Embolism, Recurrent Event",Xarelto,9.33,3
"Pulmonary Embolism, Recurrent Event",Rivaroxaban,9.33,3
Obesity,Diethylpropion,9.31,84
"Herpes Simplex, Suppression",Acyclovir,9.31,13
Urinary Tract Infection,Ceftriaxone,9.31,13
Headache,Aspirin / butalbital / caffeine,9.31,13
Insomnia,Halcion,9.31,13
"Nausea/Vomiting, Chemotherapy Induced",Marinol,9.3,10
Depression,Tramadol,9.29,52
Muscle Spasm,Aspirin / carisoprodol,9.29,7
Cough,Tussionex Pennkinetic,9.27,51
Pain,Meperidine,9.27,44
COPD,Umeclidinium / vilanterol,9.27,15
Motion Sickness,Dimenhydrinate,9.26,19
Nausea/Vomiting,Emetrol,9.26,19
Alcohol Dependence,Campral,9.25,91
Keratosis,Aldara,9.25,4
Not Listed / Othe,Lorazepam,9.25,4
Bacterial Infection,Penicillin v potassium,9.25,4
Not Listed / Othe,Zolpidem,9.25,4
"COPD, Maintenance",Aclidinium,9.25,4
Anxiety,Tranxene,9.25,4
"Gout, Acute",Sulindac,9.25,4
Seizures,Mysoline,9.25,4
Primary Hyperaldosteronism,Spironolactone,9.25,4
Chronic Pain,Dolophine,9.25,4
Prostate Cance,Firmagon,9.25,4
Hot Flashes,Paxil,9.25,4
Atopic Dermatitis,Triamcinolone,9.25,8
Allergic Reactions,Epinephrine,9.25,4
Obsessive Compulsive Disorde,Lexapro,9.25,8
Osteoarthritis,Methyl salicylate,9.25,4
Crohn's Disease,Xifaxan,9.25,4
"Diabetes, Type 2",Xigduo XR,9.25,4
Crohn's Disease,Rifaximin,9.25,4
"Nausea/Vomiting, Chemotherapy Induced",Sancuso,9.25,4
Polycythemia Vera,Ruxolitinib,9.25,4
Headache,Fiorinal with Codeine,9.25,8
Cold Sores,Penciclovir,9.25,32
Migraine,Axert,9.25,20
Hot Flashes,Duavee,9.25,4
Mitral Valve Prolapse,Bystolic,9.25,4
Nasal Polyps,Fluticasone,9.25,4
Pain,Acetaminophen / diphenhydramine,9.25,4
Multiple Sclerosis,Modafinil,9.23,13
Obesity,Tenuate,9.23,35
Opiate Dependence,Subutex,9.22,49
Migraine,Frovatriptan,9.22,27
Constipation,Fleet Enema,9.21,14
Cold Sores,Valacyclovir,9.21,148
Anxiety,Oxazepam,9.21,24
Cold Sores,Valtrex,9.2,89
Acne,Clarifoam EF,9.2,5
"Gout, Acute",Aleve,9.2,5
mis,Dapsone,9.2,5
Non-Hodgkin's Lymphoma,Rituxan,9.2,5
Obesity,Tenuate Dospan,9.2,5
Dysautonomia,Midodrine,9.2,5
Alcohol Dependence,Revia,9.2,5
Not Listed / Othe,Acetaminophen / hydrocodone,9.2,5
Pain,Lodine,9.2,5
Duodenal Ulce,Carafate,9.2,5
GERD,Prilosec OTC,9.2,5
Sciatica,Arthrotec,9.2,5
Chronic Pain,Roxicodone,9.19,21
Opiate Dependence,Buprenorphine,9.19,75
Panic Disorde,Xanax,9.19,118
Seizure Prevention,Clonazepam,9.19,27
Migraine,Frova,9.19,27
Depression,Clomipramine,9.18,11
Panic Disorde,Alprazolam,9.17,168
Muscle Spasm,Carisoprodol,9.17,131
Panic Disorde,Anafranil,9.17,6
Opiate Withdrawal,Methadone Diskets,9.17,12
Rosacea,Accutane,9.17,6
Tinnitus,Xanax,9.17,6
"Crohn's Disease, Maintenance",Asacol,9.17,6
Pain,Vicodin ES,9.17,6
Anorexia,Megestrol,9.17,6
Hypertensive Emergency,Clonidine,9.17,6
"Asthma, Maintenance",Theophylline,9.17,6
Cluster Headaches,Prednisone,9.17,6
Premenstrual Dysphoric Disorde,Escitalopram,9.17,6
Allergic Reactions,Chlorpheniramine,9.17,6
Mountain Sickness / Altitude Sickness,Acetazolamide,9.17,6
Vaginal Yeast Infection,Itraconazole,9.17,6
Depression,Xanax,9.17,42
Depression,Methylphenidate,9.16,25
Depression,Fluoxetine / olanzapine,9.15,13
Smoking Cessation,Nicoderm CQ,9.15,26
Alcohol Dependence,Antabuse,9.15,33
"Nausea/Vomiting, Chemotherapy Induced",Granisetron,9.14,7
Seizures,Ethosuximide,9.14,7
Schizophrenia,Chlorpromazine,9.14,7
HIV Infection,Atripla,9.14,65
HIV Infection,Efavirenz / emtricitabine / tenofovir,9.13,68
Irritable Bowel Syndrome,Librax,9.13,23
Pseudobulbar Affect,Nuedexta,9.12,8
Cyclic Vomiting Syndrome,Amitriptyline,9.12,16
Panic Disorde,Clomipramine,9.12,8
Schizoaffective Disorde,Lurasidone,9.12,16
Hyperhidrosis,Drysol,9.12,148
Gastroenteritis,Ondansetron,9.11,18
Prostate Cance,Abiraterone,9.11,9
Methicillin-Resistant Staphylococcus Aureus Infection,Zyvox,9.11,9
Non-Hodgkin's Lymphoma,Rituximab,9.1,10
Headache,Esgic-Plus,9.1,10
Generalized Anxiety Disorde,Lyrica,9.1,10
Post Traumatic Stress Disorde,Desvenlafaxine,9.1,10
Panic Disorde,Clonazepam,9.1,189
Eczema,Elocon,9.09,11
Not Listed / Othe,Phentermine,9.09,23
Depression,Alprazolam,9.08,61
Depression,Phenelzine,9.08,26
Panic Disorde,Xanax XR,9.08,13
Insomnia,Klonopin,9.08,13
Muscle Spasm,Soma,9.07,109
Anxiety,Valium,9.07,98
Hypertriglyceridemia,Icosapent,9.07,14
Constipation,Magnesium citrate,9.06,165
Weight Loss,Adipex-P,9.06,255
"Constipation, Chronic",Lactulose,9.06,18
Opiate Dependence,Suboxone,9.05,348
Anxiety,Xanax XR,9.05,21
Cluster Headaches,Verapamil,9.03,39
Migraine,Rizatriptan,9.02,151
Migraine,Treximet,9.02,57
Constipation,MiraLax,9.01,73
Migraine,Caffeine / ergotamine,9.0,15
Dermatomyositis,Hydroxychloroquine,9.0,4
Major Depressive Disorde,Paxil,9.0,13
Dermatomyositis,Plaquenil,9.0,3
"Pulmonary Embolism, First Event",Warfarin,9.0,3
Erectile Dysfunction,Staxyn,9.0,18
Extrapyramidal Reaction,Cogentin,9.0,3
Left Ventricular Dysfunction,Coreg,9.0,4
Chronic Pain,Endocet,9.0,6
Atopic Dermatitis,Kenalog,9.0,3
Pain,Dolophine,9.0,5
Depression,Isocarboxazid,9.0,3
Depression,Marplan,9.0,3
Irritable Bowel Syndrome,Desipramine,9.0,5
Macular Degeneration,Lucentis,9.0,3
Bowel Preparation,GaviLyte-G,9.0,7
Angina,Nitroglycerin,9.0,6
Muscle Spasm,Aspirin / caffeine / orphenadrine,9.0,3
Hyperhidrosis,Xerac AC,9.0,7
Turner's Syndrome,Somatropin,9.0,3
Hypertensive Emergency,Catapres,9.0,3
GERD,Cimetidine,9.0,3
Ulcerative Proctitis,Mesalamine,9.0,5
Pain,Tylenol 8 Hour,9.0,3
Pain,Tylox,9.0,7
"Crohn's Disease, Maintenance",Certolizumab,9.0,5
"Breast Cancer, Metastatic",Avastin,9.0,3
Narcolepsy,Dextroamphetamine,9.0,16
Heart Attack,Plavix,9.0,12
Urinary Incontinence,Sanctura,9.0,3
Chronic Pain,Ultram ER,9.0,3
Back Pain,Vicodin ES,9.0,3
Cluster Headaches,Indomethacin,9.0,5
Allergic Reactions,Cyproheptadine,9.0,3
Erectile Dysfunction,Caverject,9.0,3
Prostate Cance,Degarelix,9.0,3
ADHD,Provigil,9.0,4
Autoimmune Hepatitis,Budesonide,9.0,3
Autoimmune Hepatitis,Mycophenolate mofetil,9.0,3
Eye Redness,Lacrisert,9.0,3
Pain,Acetaminophen / phenyltoloxamine,9.0,7
ADHD,Wellbutrin XL,9.0,6
ADHD,Ritalin LA,9.0,7
Acne,Doxy 100,9.0,5
